delete,ln_pop_den,pct_65_over,pct_age_18_29,pct_bach,pct_black,pct_fb,pct_hisp,pct_uninsured,totalvotes,id,Intercept,X,Y,se0,b0,sepct_black,bpct_black,sepct_hisp,bpct_hisp,sepct_65_over,bpct_65_over,sepct_age_18_29,bpct_age_18_29,sepct_fb,bpct_fb,sepct_uninsured,bpct_uninsured,sepct_bach,bpct_bach,seln_pop_den,bln_pop_den
2980,-0.600053629,3.063791647,-1.37184763,-0.268848693,-0.535409345,-0.002606539,-0.183787565,-0.757335978,-0.317013494,53069,1,-0.123425271,0.046292222,0.805925246,1.294986829,1.416977315,2.25836099,0.400313178,-0.603527052,0.142931372,-0.166570611,0.144991949,-0.091815531,0.29163941,0.519011272,0.050193971,0.122207903,0.142131427,-0.049588678,0.202760554,0.005625078
2981,0.037723652,-0.262522102,1.187864416,0.823409025,-0.500948106,0.95219907,0.853824935,-0.476449474,-0.12801443,53071,1,-0.118478848,0.046229116,0.998733384,3.407020605,1.739137922,5.891559546,0.266786854,-0.979824991,0.109249589,-0.329482213,0.082170132,-0.196782497,0.269219791,0.694282544,0.043656767,0.104669191,0.1165686,0.118105799,0.115877366,0.02346451
2982,0.490210939,-0.413718181,1.599183905,1.296020538,-0.556086089,0.95219907,-0.003646506,-0.677082691,0.589480286,53073,1,-0.121722536,0.048825875,1.076201982,4.094393032,1.857868448,7.258785815,0.514788434,-1.16668002,0.169641247,-0.228050864,0.173129815,-0.473381496,0.35446445,0.890604179,0.050688959,0.108606597,0.161945468,0.057638272,0.227108634,0.02136455
2983,-0.377593233,-1.860880656,7.13205184,2.923904638,-0.473379114,1.164378094,-0.227021419,-1.118475768,-0.195748005,53075,1,-0.117522404,0.046901301,1.188327747,4.48888078,2.05817017,8.032608244,0.305006503,-1.004660538,0.116794945,-0.301018361,0.08611461,-0.307884223,0.294099642,0.72582813,0.043240384,0.099252223,0.121934474,0.132121414,0.12556202,0.053024791
2984,0.164560187,-1.148099138,0.456804144,-0.552415601,-0.542301593,2.47281541,2.871404796,0.707286504,0.305934907,53077,1,-0.120737963,0.046457189,0.703612967,3.170147282,1.23299286,5.244542377,0.238258571,-1.384322071,0.109423168,-0.301491013,0.087145129,-0.162575129,0.224211266,1.192055096,0.046765011,0.112089567,0.110391419,0.062999749,0.1337037,0.002551513
2985,0.064531756,0.126267817,0.717519822,-0.66794286,-0.562978337,-0.709869953,-0.616126106,-0.937905873,-0.292312626,54001,1,-0.08000413,0.0391334,0.130461355,-0.175022109,0.104942239,0.372262458,0.285733885,-0.80628495,0.063588298,-0.002409053,0.040693229,-0.128586435,0.16556903,0.598462752,0.027978355,-0.012194018,0.059425606,0.046275718,0.075980764,0.177740644
2986,1.216377577,-0.932104739,-0.025532734,-0.079804088,-0.087413232,-0.179422392,-0.363928624,-0.677082691,0.007479454,54003,1,-0.078026302,0.03946481,0.107084033,-0.394669254,0.085503515,0.210524788,0.229564256,-0.531370997,0.060148014,0.038503888,0.041960496,-0.154755316,0.109965019,0.233210623,0.031013514,-0.020263834,0.05539852,0.112742817,0.075386299,0.350018643
2987,0.012523389,0.061469497,-0.560145795,-1.287589065,-0.556086089,-0.780596294,-0.652154318,-0.777399299,-0.276707505,54005,1,-0.081709895,0.038022884,0.138957506,-0.163577872,0.117231086,0.340083054,0.316044738,-0.865987431,0.05986813,-0.033762999,0.041575254,-0.084482544,0.206496623,0.6910138,0.025077534,-0.002793371,0.060901337,-0.007801659,0.081026159,0.138935368
2988,-0.266216561,0.774251015,-0.473922859,-0.741460206,-0.576762833,-0.815959465,-0.666565603,-0.837589264,-0.299082642,54007,1,-0.080719814,0.038698738,0.13482717,-0.14520694,0.110459383,0.382732623,0.29997202,-0.867590752,0.062455958,-0.021599905,0.039686395,-0.11303092,0.185709859,0.67971332,0.026699019,-0.008342364,0.059943013,0.018070932,0.076604788,0.136628321
2989,0.990123533,0.860648775,0.170230041,-0.310858606,-0.507840354,-0.586098855,-0.616126106,-0.957969194,-0.265720431,54009,1,-0.080575875,0.040272617,0.150295675,-0.029575764,0.128041866,0.6505601,0.295747727,-0.930087682,0.070600269,0.035854216,0.049817385,-0.151001783,0.180125139,0.783222747,0.028358511,-0.013516586,0.066200825,0.012639415,0.088057843,0.291052854
